speech,label
./kaggle/input\Dataset\angry\148_angry.wav,angry
./kaggle/input\Dataset\angry\149_angry.wav,angry
./kaggle/input\Dataset\angry\14_angry.wav,angry
./kaggle/input\Dataset\angry\150_angry.wav,angry
./kaggle/input\Dataset\angry\151_angry.wav,angry
./kaggle/input\Dataset\angry\152_angry.wav,angry
./kaggle/input\Dataset\angry\153_angry.wav,angry
./kaggle/input\Dataset\angry\154_angry.wav,angry
./kaggle/input\Dataset\angry\155_angry.wav,angry
./kaggle/input\Dataset\angry\156_angry.wav,angry
./kaggle/input\Dataset\angry\157_angry.wav,angry
./kaggle/input\Dataset\angry\158_angry.wav,angry
./kaggle/input\Dataset\angry\159_angry.wav,angry
./kaggle/input\Dataset\angry\15_angry.wav,angry
./kaggle/input\Dataset\angry\160_angry.wav,angry
./kaggle/input\Dataset\angry\161_angry.wav,angry
./kaggle/input\Dataset\angry\162_angry.wav,angry
./kaggle/input\Dataset\angry\163_angry.wav,angry
./kaggle/input\Dataset\angry\164_angry.wav,angry
./kaggle/input\Dataset\angry\165_angry.wav,angry
./kaggle/input\Dataset\angry\166_angry.wav,angry
./kaggle/input\Dataset\angry\167_angry.wav,angry
./kaggle/input\Dataset\angry\168_angry.wav,angry
./kaggle/input\Dataset\angry\169_angry.wav,angry
./kaggle/input\Dataset\angry\16_angry.wav,angry
./kaggle/input\Dataset\angry\170_angry.wav,angry
./kaggle/input\Dataset\angry\171_angry.wav,angry
./kaggle/input\Dataset\angry\172_angry.wav,angry
./kaggle/input\Dataset\angry\173_angry.wav,angry
./kaggle/input\Dataset\angry\174_angry.wav,angry
./kaggle/input\Dataset\angry\175_angry.wav,angry
./kaggle/input\Dataset\angry\176_angry.wav,angry
./kaggle/input\Dataset\angry\177_angry.wav,angry
./kaggle/input\Dataset\angry\178_angry.wav,angry
./kaggle/input\Dataset\angry\179_angry.wav,angry
./kaggle/input\Dataset\angry\17_angry.wav,angry
./kaggle/input\Dataset\angry\180_angry.wav,angry
./kaggle/input\Dataset\angry\181_angry.wav,angry
./kaggle/input\Dataset\angry\182_angry.wav,angry
./kaggle/input\Dataset\angry\183_angry.wav,angry
./kaggle/input\Dataset\angry\184_angry.wav,angry
./kaggle/input\Dataset\angry\185_angry.wav,angry
./kaggle/input\Dataset\angry\186_angry.wav,angry
./kaggle/input\Dataset\angry\187_angry.wav,angry
./kaggle/input\Dataset\angry\188_angry.wav,angry
./kaggle/input\Dataset\angry\189_angry.wav,angry
./kaggle/input\Dataset\angry\18_angry.wav,angry
./kaggle/input\Dataset\angry\190_angry.wav,angry
./kaggle/input\Dataset\angry\191_angry.wav,angry
./kaggle/input\Dataset\angry\192_angry.wav,angry
./kaggle/input\Dataset\angry\193_angry.wav,angry
./kaggle/input\Dataset\angry\194_angry.wav,angry
./kaggle/input\Dataset\angry\195_angry.wav,angry
./kaggle/input\Dataset\angry\196_angry.wav,angry
./kaggle/input\Dataset\angry\197_angry.wav,angry
./kaggle/input\Dataset\angry\198_angry.wav,angry
./kaggle/input\Dataset\angry\199_angry.wav,angry
./kaggle/input\Dataset\angry\19_angry.wav,angry
./kaggle/input\Dataset\angry\200_angry.wav,angry
./kaggle/input\Dataset\angry\201_angry.wav,angry
./kaggle/input\Dataset\angry\202_angry.wav,angry
./kaggle/input\Dataset\angry\203_angry.wav,angry
./kaggle/input\Dataset\angry\204_angry.wav,angry
./kaggle/input\Dataset\angry\205_angry.wav,angry
./kaggle/input\Dataset\angry\206_angry.wav,angry
./kaggle/input\Dataset\angry\207_angry.wav,angry
./kaggle/input\Dataset\angry\208_angry.wav,angry
./kaggle/input\Dataset\angry\209_angry.wav,angry
./kaggle/input\Dataset\angry\20_angry.wav,angry
./kaggle/input\Dataset\angry\210_angry.wav,angry
./kaggle/input\Dataset\angry\211_angry.wav,angry
./kaggle/input\Dataset\angry\212_angry.wav,angry
./kaggle/input\Dataset\angry\213_angry.wav,angry
./kaggle/input\Dataset\angry\214_angry.wav,angry
./kaggle/input\Dataset\angry\215_angry.wav,angry
./kaggle/input\Dataset\angry\216_angry.wav,angry
./kaggle/input\Dataset\angry\217_angry.wav,angry
./kaggle/input\Dataset\angry\218_angry.wav,angry
./kaggle/input\Dataset\angry\219_angry.wav,angry
./kaggle/input\Dataset\angry\21_angry.wav,angry
./kaggle/input\Dataset\angry\220_angry.wav,angry
./kaggle/input\Dataset\angry\221_angry.wav,angry
./kaggle/input\Dataset\angry\222_angry.wav,angry
./kaggle/input\Dataset\angry\223_angry.wav,angry
./kaggle/input\Dataset\angry\224_angry.wav,angry
./kaggle/input\Dataset\angry\225_angry.wav,angry
./kaggle/input\Dataset\angry\226_angry.wav,angry
./kaggle/input\Dataset\angry\227_angry.wav,angry
./kaggle/input\Dataset\angry\228_angry.wav,angry
./kaggle/input\Dataset\angry\229_angry.wav,angry
./kaggle/input\Dataset\angry\22_angry.wav,angry
./kaggle/input\Dataset\angry\230_angry.wav,angry
./kaggle/input\Dataset\angry\231_angry.wav,angry
./kaggle/input\Dataset\angry\232_angry.wav,angry
./kaggle/input\Dataset\angry\233_angry.wav,angry
./kaggle/input\Dataset\angry\234_angry.wav,angry
./kaggle/input\Dataset\angry\235_angry.wav,angry
./kaggle/input\Dataset\angry\236_angry.wav,angry
./kaggle/input\Dataset\angry\237_angry.wav,angry
./kaggle/input\Dataset\angry\238_angry.wav,angry
./kaggle/input\Dataset\angry\239_angry.wav,angry
./kaggle/input\Dataset\angry\23_angry.wav,angry
./kaggle/input\Dataset\angry\240_angry.wav,angry
./kaggle/input\Dataset\angry\241_angry.wav,angry
./kaggle/input\Dataset\angry\242_angry.wav,angry
./kaggle/input\Dataset\angry\243_angry.wav,angry
./kaggle/input\Dataset\angry\244_angry.wav,angry
./kaggle/input\Dataset\angry\245_angry.wav,angry
./kaggle/input\Dataset\angry\246_angry.wav,angry
./kaggle/input\Dataset\angry\247_angry.wav,angry
./kaggle/input\Dataset\angry\248_angry.wav,angry
./kaggle/input\Dataset\angry\249_angry.wav,angry
./kaggle/input\Dataset\angry\24_angry.wav,angry
./kaggle/input\Dataset\angry\250_angry.wav,angry
./kaggle/input\Dataset\angry\251_angry.wav,angry
./kaggle/input\Dataset\angry\252_angry.wav,angry
./kaggle/input\Dataset\angry\25_angry.wav,angry
./kaggle/input\Dataset\angry\26_angry.wav,angry
./kaggle/input\Dataset\angry\27_angry.wav,angry
./kaggle/input\Dataset\angry\28_angry.wav,angry
./kaggle/input\Dataset\angry\29_angry.wav,angry
./kaggle/input\Dataset\angry\30_angry.wav,angry
./kaggle/input\Dataset\angry\31_angry.wav,angry
./kaggle/input\Dataset\angry\32_angry.wav,angry
./kaggle/input\Dataset\angry\33_angry.wav,angry
./kaggle/input\Dataset\angry\34_angry.wav,angry
./kaggle/input\Dataset\angry\35_angry.wav,angry
./kaggle/input\Dataset\angry\36_angry.wav,angry
./kaggle/input\Dataset\angry\37_angry.wav,angry
./kaggle/input\Dataset\angry\38_angry.wav,angry
./kaggle/input\Dataset\angry\39_angry.wav,angry
./kaggle/input\Dataset\angry\40_angry.wav,angry
./kaggle/input\Dataset\angry\41_angry.wav,angry
./kaggle/input\Dataset\angry\42_angry.wav,angry
./kaggle/input\Dataset\angry\43_angry.wav,angry
./kaggle/input\Dataset\angry\44_angry.wav,angry
./kaggle/input\Dataset\angry\45_angry.wav,angry
./kaggle/input\Dataset\angry\46_angry.wav,angry
./kaggle/input\Dataset\angry\47_angry.wav,angry
./kaggle/input\Dataset\angry\48_angry.wav,angry
./kaggle/input\Dataset\angry\49_angry.wav,angry
./kaggle/input\Dataset\angry\50_angry.wav,angry
./kaggle/input\Dataset\angry\51_angry.wav,angry
./kaggle/input\Dataset\angry\52_angry.wav,angry
./kaggle/input\Dataset\angry\53_angry.wav,angry
./kaggle/input\Dataset\angry\54_angry.wav,angry
./kaggle/input\Dataset\angry\55_angry.wav,angry
./kaggle/input\Dataset\angry\56_angry.wav,angry
./kaggle/input\Dataset\angry\57_angry.wav,angry
./kaggle/input\Dataset\angry\58_angry.wav,angry
./kaggle/input\Dataset\angry\59_angry.wav,angry
./kaggle/input\Dataset\angry\60_angry.wav,angry
./kaggle/input\Dataset\angry\61_angry.wav,angry
./kaggle/input\Dataset\angry\62_angry.wav,angry
./kaggle/input\Dataset\angry\63_angry.wav,angry
./kaggle/input\Dataset\angry\64_angry.wav,angry
./kaggle/input\Dataset\angry\65_angry.wav,angry
./kaggle/input\Dataset\angry\66_angry.wav,angry
./kaggle/input\Dataset\angry\67_angry.wav,angry
./kaggle/input\Dataset\angry\68_angry.wav,angry
./kaggle/input\Dataset\angry\69_angry.wav,angry
./kaggle/input\Dataset\angry\70_angry.wav,angry
./kaggle/input\Dataset\angry\71_angry.wav,angry
./kaggle/input\Dataset\angry\72_angry.wav,angry
./kaggle/input\Dataset\angry\73_angry.wav,angry
./kaggle/input\Dataset\angry\74_angry.wav,angry
./kaggle/input\Dataset\angry\75_angry.wav,angry
./kaggle/input\Dataset\angry\76_angry.wav,angry
./kaggle/input\Dataset\angry\77_angry.wav,angry
./kaggle/input\Dataset\angry\78_angry.wav,angry
./kaggle/input\Dataset\angry\79_angry.wav,angry
./kaggle/input\Dataset\angry\80_angry.wav,angry
./kaggle/input\Dataset\angry\81_angry.wav,angry
./kaggle/input\Dataset\angry\82_angry.wav,angry
./kaggle/input\Dataset\angry\83_angry.wav,angry
./kaggle/input\Dataset\angry\84_angry.wav,angry
./kaggle/input\Dataset\angry\85_angry.wav,angry
./kaggle/input\Dataset\angry\86_angry.wav,angry
./kaggle/input\Dataset\angry\87_angry.wav,angry
./kaggle/input\Dataset\angry\88_angry.wav,angry
./kaggle/input\Dataset\angry\89_angry.wav,angry
./kaggle/input\Dataset\angry\90_angry.wav,angry
./kaggle/input\Dataset\angry\91_angry.wav,angry
./kaggle/input\Dataset\angry\92_angry.wav,angry
./kaggle/input\Dataset\angry\93_angry.wav,angry
./kaggle/input\Dataset\angry\94_angry.wav,angry
./kaggle/input\Dataset\angry\95_angry.wav,angry
./kaggle/input\Dataset\angry\96_angry.wav,angry
./kaggle/input\Dataset\angry\97_angry.wav,angry
./kaggle/input\Dataset\angry\98_angry.wav,angry
./kaggle/input\Dataset\angry\99_angry.wav,angry
./kaggle/input\Dataset\angry\angry.wav,angry
./kaggle/input\Dataset\disgust\01_disgust.wav,disgust
./kaggle/input\Dataset\disgust\02_disgust.wav,disgust
./kaggle/input\Dataset\disgust\03_disgust.wav,disgust
./kaggle/input\Dataset\disgust\04_disgust.wav,disgust
./kaggle/input\Dataset\disgust\05_disgust.wav,disgust
./kaggle/input\Dataset\disgust\06_disgust.wav,disgust
./kaggle/input\Dataset\disgust\07_disgust.wav,disgust
./kaggle/input\Dataset\disgust\08_disgust.wav,disgust
./kaggle/input\Dataset\disgust\09_disgust.wav,disgust
./kaggle/input\Dataset\disgust\100_disgust.wav,disgust
./kaggle/input\Dataset\disgust\101_disgust.wav,disgust
./kaggle/input\Dataset\disgust\102_disgust.wav,disgust
./kaggle/input\Dataset\disgust\103_disgust.wav,disgust
./kaggle/input\Dataset\disgust\104_disgust.wav,disgust
./kaggle/input\Dataset\disgust\105_disgust.wav,disgust
./kaggle/input\Dataset\disgust\106_disgust.wav,disgust
./kaggle/input\Dataset\disgust\107_disgust.wav,disgust
./kaggle/input\Dataset\disgust\108_disgust.wav,disgust
./kaggle/input\Dataset\disgust\109_disgust.wav,disgust
./kaggle/input\Dataset\disgust\10_disgust.wav,disgust
./kaggle/input\Dataset\disgust\110_disgust.wav,disgust
./kaggle/input\Dataset\disgust\111_disgust.wav,disgust
./kaggle/input\Dataset\disgust\112_disgust.wav,disgust
./kaggle/input\Dataset\disgust\113_disgust.wav,disgust
./kaggle/input\Dataset\disgust\114_disgust.wav,disgust
./kaggle/input\Dataset\disgust\115_disgust.wav,disgust
./kaggle/input\Dataset\disgust\116_disgust.wav,disgust
./kaggle/input\Dataset\disgust\117_disgust.wav,disgust
./kaggle/input\Dataset\disgust\118_disgust.wav,disgust
./kaggle/input\Dataset\disgust\119_disgust.wav,disgust
./kaggle/input\Dataset\disgust\11_disgust.wav,disgust
./kaggle/input\Dataset\disgust\120_disgust.wav,disgust
./kaggle/input\Dataset\disgust\121_disgust.wav,disgust
./kaggle/input\Dataset\disgust\122_disgust.wav,disgust
./kaggle/input\Dataset\disgust\123_disgust.wav,disgust
./kaggle/input\Dataset\disgust\124_disgust.wav,disgust
./kaggle/input\Dataset\disgust\125_disgust.wav,disgust
./kaggle/input\Dataset\disgust\126_disgust.wav,disgust
./kaggle/input\Dataset\disgust\127_disgust.wav,disgust
./kaggle/input\Dataset\disgust\128_disgust.wav,disgust
./kaggle/input\Dataset\disgust\129_disgust.wav,disgust
./kaggle/input\Dataset\disgust\12_disgust.wav,disgust
./kaggle/input\Dataset\disgust\130_disgust.wav,disgust
./kaggle/input\Dataset\disgust\131_disgust.wav,disgust
./kaggle/input\Dataset\disgust\132_disgust.wav,disgust
./kaggle/input\Dataset\disgust\133_disgust.wav,disgust
./kaggle/input\Dataset\disgust\134_disgust.wav,disgust
./kaggle/input\Dataset\disgust\135_disgust.wav,disgust
./kaggle/input\Dataset\disgust\136_disgust.wav,disgust
./kaggle/input\Dataset\disgust\137_disgust.wav,disgust
./kaggle/input\Dataset\disgust\138_disgust.wav,disgust
./kaggle/input\Dataset\disgust\139_disgust.wav,disgust
./kaggle/input\Dataset\disgust\13_disgust.wav,disgust
./kaggle/input\Dataset\disgust\140_disgust.wav,disgust
./kaggle/input\Dataset\disgust\141_disgust.wav,disgust
./kaggle/input\Dataset\disgust\142_disgust.wav,disgust
./kaggle/input\Dataset\disgust\143_disgust.wav,disgust
./kaggle/input\Dataset\disgust\144_disgust.wav,disgust
./kaggle/input\Dataset\disgust\145_disgust.wav,disgust
./kaggle/input\Dataset\disgust\146_disgust.wav,disgust
./kaggle/input\Dataset\disgust\147_disgust.wav,disgust
./kaggle/input\Dataset\disgust\148_disgust.wav,disgust
./kaggle/input\Dataset\disgust\149_disgust.wav,disgust
./kaggle/input\Dataset\disgust\14_disgust.wav,disgust
./kaggle/input\Dataset\disgust\150_disgust.wav,disgust
./kaggle/input\Dataset\disgust\151_disgust.wav,disgust
./kaggle/input\Dataset\disgust\152_disgust.wav,disgust
./kaggle/input\Dataset\disgust\153_disgust.wav,disgust
./kaggle/input\Dataset\disgust\154_disgust.wav,disgust
./kaggle/input\Dataset\disgust\155_disgust.wav,disgust
./kaggle/input\Dataset\disgust\156_disgust.wav,disgust
./kaggle/input\Dataset\disgust\157_disgust.wav,disgust
./kaggle/input\Dataset\disgust\158_disgust.wav,disgust
./kaggle/input\Dataset\disgust\159_disgust.wav,disgust
./kaggle/input\Dataset\disgust\15_disgust.wav,disgust
./kaggle/input\Dataset\disgust\160_disgust.wav,disgust
./kaggle/input\Dataset\disgust\161_disgust.wav,disgust
./kaggle/input\Dataset\disgust\162_disgust.wav,disgust
./kaggle/input\Dataset\disgust\163_disgust.wav,disgust
./kaggle/input\Dataset\disgust\164_disgust.wav,disgust
./kaggle/input\Dataset\disgust\165_disgust.wav,disgust
./kaggle/input\Dataset\disgust\166_disgust.wav,disgust
./kaggle/input\Dataset\disgust\167_disgust.wav,disgust
./kaggle/input\Dataset\disgust\168_disgust.wav,disgust
./kaggle/input\Dataset\disgust\169_disgust.wav,disgust
./kaggle/input\Dataset\disgust\16_disgust.wav,disgust
./kaggle/input\Dataset\disgust\170_disgust.wav,disgust
./kaggle/input\Dataset\disgust\171_disgust.wav,disgust
./kaggle/input\Dataset\disgust\172_disgust.wav,disgust
./kaggle/input\Dataset\disgust\173_disgust.wav,disgust
./kaggle/input\Dataset\disgust\174_disgust.wav,disgust
./kaggle/input\Dataset\disgust\175_disgust.wav,disgust
./kaggle/input\Dataset\disgust\176_disgust.wav,disgust
./kaggle/input\Dataset\disgust\177_disgust.wav,disgust
./kaggle/input\Dataset\disgust\178_disgust.wav,disgust
./kaggle/input\Dataset\disgust\179_disgust.wav,disgust
./kaggle/input\Dataset\disgust\17_disgust.wav,disgust
./kaggle/input\Dataset\disgust\180_disgust.wav,disgust
./kaggle/input\Dataset\disgust\181_disgust.wav,disgust
./kaggle/input\Dataset\disgust\182_disgust.wav,disgust
./kaggle/input\Dataset\disgust\183_disgust.wav,disgust
./kaggle/input\Dataset\disgust\184_disgust.wav,disgust
./kaggle/input\Dataset\disgust\185_disgust.wav,disgust
./kaggle/input\Dataset\disgust\186_disgust.wav,disgust
./kaggle/input\Dataset\disgust\187_disgust.wav,disgust
./kaggle/input\Dataset\disgust\188_disgust.wav,disgust
./kaggle/input\Dataset\disgust\189_disgust.wav,disgust
./kaggle/input\Dataset\disgust\18_disgust.wav,disgust
./kaggle/input\Dataset\disgust\190_disgust.wav,disgust
./kaggle/input\Dataset\disgust\191_disgust.wav,disgust
./kaggle/input\Dataset\disgust\192_disgust.wav,disgust
./kaggle/input\Dataset\disgust\193_disgust.wav,disgust
./kaggle/input\Dataset\disgust\194_disgust.wav,disgust
./kaggle/input\Dataset\disgust\195_disgust.wav,disgust
./kaggle/input\Dataset\disgust\196_disgust.wav,disgust
./kaggle/input\Dataset\disgust\197_disgust.wav,disgust
./kaggle/input\Dataset\disgust\198_disgust.wav,disgust
./kaggle/input\Dataset\disgust\199_disgust.wav,disgust
./kaggle/input\Dataset\disgust\19_disgust.wav,disgust
./kaggle/input\Dataset\disgust\200_disgust.wav,disgust
./kaggle/input\Dataset\disgust\201_disgust.wav,disgust
./kaggle/input\Dataset\disgust\202_disgust.wav,disgust
./kaggle/input\Dataset\disgust\203_disgust.wav,disgust
./kaggle/input\Dataset\disgust\204_disgust.wav,disgust
./kaggle/input\Dataset\disgust\205_disgust.wav,disgust
./kaggle/input\Dataset\disgust\206_disgust.wav,disgust
./kaggle/input\Dataset\disgust\207_disgust.wav,disgust
./kaggle/input\Dataset\disgust\208_disgust.wav,disgust
./kaggle/input\Dataset\disgust\209_disgust.wav,disgust
./kaggle/input\Dataset\disgust\20_disgust.wav,disgust
./kaggle/input\Dataset\disgust\210_disgust.wav,disgust
./kaggle/input\Dataset\disgust\211_disgust.wav,disgust
./kaggle/input\Dataset\disgust\212_disgust.wav,disgust
./kaggle/input\Dataset\disgust\213_disgust.wav,disgust
./kaggle/input\Dataset\disgust\214_disgust.wav,disgust
./kaggle/input\Dataset\disgust\215_disgust.wav,disgust
./kaggle/input\Dataset\disgust\216_disgust.wav,disgust
./kaggle/input\Dataset\disgust\217_disgust.wav,disgust
./kaggle/input\Dataset\disgust\218_disgust.wav,disgust
./kaggle/input\Dataset\disgust\219_disgust.wav,disgust
./kaggle/input\Dataset\disgust\21_disgust.wav,disgust
./kaggle/input\Dataset\disgust\220_disgust.wav,disgust
./kaggle/input\Dataset\disgust\221_disgust.wav,disgust
./kaggle/input\Dataset\disgust\222_disgust.wav,disgust
./kaggle/input\Dataset\disgust\223_disgust.wav,disgust
./kaggle/input\Dataset\disgust\224_disgust.wav,disgust
./kaggle/input\Dataset\disgust\225_disgust.wav,disgust
./kaggle/input\Dataset\disgust\226_disgust.wav,disgust
./kaggle/input\Dataset\disgust\227_disgust.wav,disgust
./kaggle/input\Dataset\disgust\228_disgust.wav,disgust
./kaggle/input\Dataset\disgust\229_disgust.wav,disgust
./kaggle/input\Dataset\disgust\22_disgust.wav,disgust
./kaggle/input\Dataset\disgust\230_disgust.wav,disgust
./kaggle/input\Dataset\disgust\231_disgust.wav,disgust
./kaggle/input\Dataset\disgust\232_disgust.wav,disgust
./kaggle/input\Dataset\disgust\233_disgust.wav,disgust
./kaggle/input\Dataset\disgust\234_disgust.wav,disgust
./kaggle/input\Dataset\disgust\235_disgust.wav,disgust
./kaggle/input\Dataset\disgust\236_disgust.wav,disgust
./kaggle/input\Dataset\disgust\237_disgust.wav,disgust
./kaggle/input\Dataset\disgust\238_disgust.wav,disgust
./kaggle/input\Dataset\disgust\239_disgust.wav,disgust
./kaggle/input\Dataset\disgust\23_disgust.wav,disgust
./kaggle/input\Dataset\disgust\240_disgust.wav,disgust
./kaggle/input\Dataset\disgust\241_disgust.wav,disgust
./kaggle/input\Dataset\disgust\242_disgust.wav,disgust
./kaggle/input\Dataset\disgust\243_disgust.wav,disgust
./kaggle/input\Dataset\disgust\244_disgust.wav,disgust
./kaggle/input\Dataset\disgust\245_disgust.wav,disgust
./kaggle/input\Dataset\disgust\246_disgust.wav,disgust
./kaggle/input\Dataset\disgust\247_disgust.wav,disgust
./kaggle/input\Dataset\disgust\248_disgust.wav,disgust
./kaggle/input\Dataset\disgust\249_disgust.wav,disgust
./kaggle/input\Dataset\disgust\24_disgust.wav,disgust
./kaggle/input\Dataset\disgust\250_disgust.wav,disgust
./kaggle/input\Dataset\disgust\251_disgust.wav,disgust
./kaggle/input\Dataset\disgust\252_disgust.wav,disgust
./kaggle/input\Dataset\disgust\25_disgust.wav,disgust
./kaggle/input\Dataset\disgust\26_disgust.wav,disgust
./kaggle/input\Dataset\disgust\27_disgust.wav,disgust
./kaggle/input\Dataset\disgust\28_disgust.wav,disgust
./kaggle/input\Dataset\disgust\29_disgust.wav,disgust
./kaggle/input\Dataset\disgust\30_disgust.wav,disgust
./kaggle/input\Dataset\disgust\31_disgust.wav,disgust
./kaggle/input\Dataset\disgust\32_disgust.wav,disgust
./kaggle/input\Dataset\disgust\33_disgust.wav,disgust
./kaggle/input\Dataset\disgust\34_disgust.wav,disgust
./kaggle/input\Dataset\disgust\35_disgust.wav,disgust
./kaggle/input\Dataset\disgust\36_disgust.wav,disgust
./kaggle/input\Dataset\disgust\37_disgust.wav,disgust
./kaggle/input\Dataset\disgust\38_disgust.wav,disgust
./kaggle/input\Dataset\disgust\39_disgust.wav,disgust
./kaggle/input\Dataset\disgust\40_disgust.wav,disgust
./kaggle/input\Dataset\disgust\41_disgust.wav,disgust
./kaggle/input\Dataset\disgust\42_disgust.wav,disgust
./kaggle/input\Dataset\disgust\43_disgust.wav,disgust
./kaggle/input\Dataset\disgust\44_disgust.wav,disgust
./kaggle/input\Dataset\disgust\45_disgust.wav,disgust
./kaggle/input\Dataset\disgust\46_disgust.wav,disgust
./kaggle/input\Dataset\disgust\47_disgust.wav,disgust
./kaggle/input\Dataset\disgust\48_disgust.wav,disgust
./kaggle/input\Dataset\disgust\49_disgust.wav,disgust
./kaggle/input\Dataset\disgust\50_disgust.wav,disgust
./kaggle/input\Dataset\disgust\51_disgust.wav,disgust
./kaggle/input\Dataset\disgust\52_disgust.wav,disgust
./kaggle/input\Dataset\disgust\53_disgust.wav,disgust
./kaggle/input\Dataset\disgust\54_disgust.wav,disgust
./kaggle/input\Dataset\disgust\55_disgust.wav,disgust
./kaggle/input\Dataset\disgust\56_disgust.wav,disgust
./kaggle/input\Dataset\disgust\57_disgust.wav,disgust
./kaggle/input\Dataset\disgust\58_disgust.wav,disgust
./kaggle/input\Dataset\disgust\59_disgust.wav,disgust
./kaggle/input\Dataset\disgust\60_disgust.wav,disgust
./kaggle/input\Dataset\disgust\61_disgust.wav,disgust
./kaggle/input\Dataset\disgust\62_disgust.wav,disgust
./kaggle/input\Dataset\disgust\63_disgust.wav,disgust
./kaggle/input\Dataset\disgust\64_disgust.wav,disgust
./kaggle/input\Dataset\disgust\65_disgust.wav,disgust
./kaggle/input\Dataset\disgust\66_disgust.wav,disgust
./kaggle/input\Dataset\disgust\67_disgust.wav,disgust
./kaggle/input\Dataset\disgust\68_disgust.wav,disgust
./kaggle/input\Dataset\disgust\69_disgust.wav,disgust
./kaggle/input\Dataset\disgust\70_disgust.wav,disgust
./kaggle/input\Dataset\disgust\71_disgust.wav,disgust
./kaggle/input\Dataset\disgust\72_disgust.wav,disgust
./kaggle/input\Dataset\disgust\73_disgust.wav,disgust
./kaggle/input\Dataset\disgust\74_disgust.wav,disgust
./kaggle/input\Dataset\disgust\75_disgust.wav,disgust
./kaggle/input\Dataset\disgust\76_disgust.wav,disgust
./kaggle/input\Dataset\disgust\77_disgust.wav,disgust
./kaggle/input\Dataset\disgust\78_disgust.wav,disgust
./kaggle/input\Dataset\disgust\79_disgust.wav,disgust
./kaggle/input\Dataset\disgust\80_disgust.wav,disgust
./kaggle/input\Dataset\disgust\81_disgust.wav,disgust
./kaggle/input\Dataset\disgust\82_disgust.wav,disgust
./kaggle/input\Dataset\disgust\83_disgust.wav,disgust
./kaggle/input\Dataset\disgust\84_disgust.wav,disgust
./kaggle/input\Dataset\disgust\85_disgust.wav,disgust
